  -5.28024  -5.09384  -2.46848  -4.80609  -4.69841  -2.30585  -6.81638  -4.49475   6.69337  11.11536   8.89229   6.69337   4.49475   2.27213   2.30585   2.34921   2.40305   4.93697   5.09384   5.28024
   4.78577  -0.54650  -1.31079  -2.59550  -3.05499  -2.92520  -4.30505  -2.07937   3.62985   6.81205   6.42362   5.02211   3.59596   1.55562   0.37516  -0.59330   0.09617   2.13084   4.46581   4.78577
   0.00000  -2.47654  -0.67463  -1.81168  -1.77849  -1.15473  -4.19786  -2.45889   4.46105   7.06199   4.35125   3.37299   4.30581   3.59593   1.63346  -0.82006   0.20085   3.08418   7.64084  13.13734
   0.00000  -1.90900   0.51239   0.55541   0.76246   1.73471   0.08842   0.56006   4.90234   5.79152  -0.39011  -1.72509   3.76813   7.21890   2.48608  -5.43810  -5.35681  -1.51947   4.18843  12.12552
  -7.52080  -2.48345   0.08409   1.15604   0.43964   2.93746   3.19867   1.03211   3.65367   7.21858   1.95026   1.89415  10.91149  13.81570   1.90624 -12.27867  -8.96520  -1.23895   4.98311  15.04160
  -3.52464  -0.79863  -0.21488   1.85098   2.12251   4.48025   4.38356   3.14468   3.50637   7.64948   6.44305   5.24983  11.31822  14.11655  -0.64039 -19.76346 -12.83489  -0.22554   7.69740  17.62318
   3.32678   0.16281  -0.41354   4.34646   4.59254   2.55724   0.61495   2.18328   3.32101   7.45262  10.06376   7.97755   9.93216  14.06502   0.46015 -20.78863 -14.24697  -0.36567   9.09606  19.96069
  -3.16082  -1.63675  -0.41838   2.92428   1.71076  -1.59527  -3.82898  -0.69535   2.64180   7.59909  11.85454   7.05101   5.59421   9.15527  -2.76594 -20.04846 -10.41915   3.92728  12.57292  15.80410
  -9.06609  -5.25776  -3.87724  -2.73154  -3.41751  -5.24971  -5.18886  -1.06294   1.97134   8.96767  12.97904   6.47147   4.50110   1.31402 -11.16618 -20.74016  -2.57932  13.54634  20.22013  24.17623
  -8.71995  -9.03157  -7.52119  -5.59304  -6.66265  -8.54357  -5.40052  -0.39550   1.49647  10.18567  13.89844   8.04995   3.46158  -7.36014 -17.76110 -21.54511   0.86826  19.88351  25.74510  20.34654
 -16.86996 -12.29584  -9.99822  -8.90073  -9.43398  -9.96080  -4.51875   3.11370   6.03997  10.81422  12.50940   7.21183   0.54262 -10.24573 -18.60317 -18.94403   3.83531  22.10517  25.64586  22.49329
 -13.67303 -13.29412 -11.51335 -11.20909 -11.08523  -9.94908  -4.64858   2.73729   8.80134  14.15682  15.74844  10.83042   3.49283  -8.25885 -18.40245 -17.76109   2.50419  18.81390  19.79614  16.40764
 -18.71420 -14.31332 -12.47255 -11.00086  -8.53324  -6.24327  -2.10754   4.56322  10.43385  12.61667  14.03792  10.15801   1.94489  -6.08582 -11.19241  -9.98672   4.98736  16.44000  15.57176  18.71420
 -13.13253 -12.06711 -10.06981  -6.90631  -4.33225  -2.45403  -1.04962   4.36288  15.55122  21.95825  19.23691  13.01036   3.63082  -6.00631 -12.07333  -9.28656   1.93973   9.71372  11.79931  13.13253
 -10.36914  -8.33290  -7.03381  -3.44928  -1.66295   0.51806   2.43149   7.38164  15.50475  20.84337  18.24438  12.70962   4.21704  -3.52505  -8.45321  -6.09736   1.75307   7.94646  12.69247  18.14599
 -12.84735 -10.23121  -5.10656  -1.27725   0.00000   1.28409   2.57739   6.46514  20.74199  29.85845  22.06929  12.96374   5.17211  -3.86609 -12.84086 -10.23999   0.00000   5.10656  10.23121  12.84735
