  21.12097  10.18768   9.87394   9.61219   0.00000   4.61171   9.08851   4.49475   4.46225   4.44615   8.89229  13.38674   8.98949   9.08851   9.22341  14.09524  14.41828  14.81091  10.18768  10.56048
  11.96443   8.61224   7.36044   7.11623   5.06576   4.77375   4.03437   2.27005   2.93607   4.44669   6.18726   9.05951   8.94161   8.73250   7.68131   8.81570  10.07310  10.55760  12.00812   9.57155
  10.94779  11.88128  11.74565   9.75919   8.25369   5.68880   3.53258   1.45112   0.83818   0.95515   2.29800   7.43580   8.97455   7.52067   3.93675   5.89778   9.25290  12.45820  13.89794  13.13734
  20.20920  16.78116  19.53697  17.04854  16.41399  14.64318  11.52773   7.10613   7.62409   8.13588   7.78404  10.42549   9.30165   3.68650  -1.13386   3.09888   9.92137  12.56440  14.04354  14.14644
  26.32281  21.31691  24.62694  22.71576  23.61641  21.61556  20.49954  17.33969  17.60251  18.44684  15.55407  11.31740   8.32940   3.98219   1.72006   7.04702  15.69911  14.60975  14.33767  11.28120
  22.91013  17.66000  19.78688  18.19492  16.74087  13.90945  16.32104  16.41278  14.96708  16.44818  14.66862   8.22222   8.13913   9.30459   8.11581  10.65607  16.39566  16.12837  14.97699  12.33622
   8.31695   8.46487   8.69621   8.43506   7.55433   8.92471  13.12662  16.61427  15.90486  17.29234  16.16354  12.19283  14.59202  18.64707  20.27203  20.59063  20.08706  17.52227  15.17496  13.30712
  -7.90205  -1.06806  -2.14735   2.26652   5.63135  11.02455  13.94032  16.83671  16.47153  17.99852  14.66773  14.82034  15.59566  20.28525  28.86873  31.56502  28.56121  19.56202  14.83442   9.48246
  -7.55507  -1.03389  -0.20182   5.07269   8.48992  14.19411  15.82590  15.19776  14.84637  16.21347  12.35938  14.10555  10.86747  16.02836  27.74646  31.09061  29.32841  20.27067  13.84658   9.06609
   1.45332   4.45511   7.24365  10.09989  12.98971  16.03186  17.29295  14.09261  12.08623   9.90619  10.61180  10.82589   9.91241  14.96325  22.01573  22.37411  19.40725  16.31171  10.36563  11.62660
   8.43498  10.56665  12.68890  14.53350  18.29066  19.28148  19.74918  17.79972  15.64773  10.30904  12.16687   9.03041   9.02773   8.82990   9.93609   9.00878   5.15009   7.26990   4.00303  12.65247
  15.04033  15.71217  16.72635  17.87719  18.63079  17.24502  15.01840  14.54441  13.20225   9.82377  11.03199   7.85484   7.38619   6.30630   3.42990  -1.15764  -5.92363  -2.51906  -2.32693   5.46921
  20.05093  18.89029  18.81957  17.10485  14.53366  10.32757   6.73813   6.20536   4.77594  -0.33610  -2.58531  -3.65004  -3.68935  -3.15831  -5.80403  -9.12335 -13.83646  -8.21702  -5.55482  -1.33673
  23.63856  18.97095  17.70653  13.06023  10.21129   6.20538   3.80263   1.92228   1.20133  -3.18716  -7.22552  -7.37125  -8.45969  -9.50748 -11.12381 -11.71639 -14.57627  -7.84555  -5.22422  -3.93976
  14.25756  13.65350  12.39124   8.52338   6.56525   4.92012   3.30410   1.39212  -0.03565  -3.51869  -6.72785  -6.19067  -6.11160  -7.07439  -8.65862  -7.32221  -8.67956  -5.88850  -4.02171  -3.88843
   5.13894   7.67340   7.65983   5.10901   2.56000   2.56817   0.00000   0.00000   0.00000  -2.59639  -2.59639  -2.59275  -2.58606  -2.57739 -10.27269  -2.56000  -2.55451  -2.55328  -5.11560   0.00000
